ref:

wavelength (nm)	spectral irradiance (W/m^2/nm)
2.500000000e+02	4.064846734e-01
2.510000000e+02	4.145196433e-01
2.520000000e+02	4.226144013e-01
2.530000000e+02	4.307676174e-01
2.540000000e+02	4.389779481e-01
2.550000000e+02	4.472440380e-01
2.560000000e+02	4.555645201e-01
2.570000000e+02	4.639380167e-01
2.580000000e+02	4.723631406e-01
2.590000000e+02	4.808384953e-01
2.600000000e+02	4.893626761e-01
2.610000000e+02	4.979342709e-01
2.620000000e+02	5.065518610e-01
2.630000000e+02	5.152140218e-01
2.640000000e+02	5.239193233e-01
2.650000000e+02	5.326663312e-01
2.660000000e+02	5.414536075e-01
2.670000000e+02	5.502797111e-01
2.680000000e+02	5.591431987e-01
2.690000000e+02	5.680426252e-01
2.700000000e+02	5.769765446e-01
2.710000000e+02	5.859435106e-01
2.720000000e+02	5.949420770e-01
2.730000000e+02	6.039707989e-01
2.740000000e+02	6.130282327e-01
2.750000000e+02	6.221129370e-01
2.760000000e+02	6.312234731e-01
2.770000000e+02	6.403584056e-01
2.780000000e+02	6.495163030e-01
2.790000000e+02	6.586957382e-01
2.800000000e+02	6.678952891e-01
2.810000000e+02	6.771135388e-01
2.820000000e+02	6.863490765e-01
2.830000000e+02	6.956004978e-01
2.840000000e+02	7.048664053e-01
2.850000000e+02	7.141454086e-01
2.860000000e+02	7.234361255e-01
2.870000000e+02	7.327371818e-01
2.880000000e+02	7.420472119e-01
2.890000000e+02	7.513648593e-01
2.900000000e+02	7.606887769e-01
2.910000000e+02	7.700176274e-01
2.920000000e+02	7.793500836e-01
2.930000000e+02	7.886848288e-01
2.940000000e+02	7.980205573e-01
2.950000000e+02	8.073559742e-01
2.960000000e+02	8.166897964e-01
2.970000000e+02	8.260207523e-01
2.980000000e+02	8.353475825e-01
2.990000000e+02	8.446690398e-01
3.000000000e+02	8.539838896e-01
3.010000000e+02	8.632909101e-01
3.020000000e+02	8.725888925e-01
3.030000000e+02	8.818766413e-01
3.040000000e+02	8.911529745e-01
3.050000000e+02	9.004167237e-01
3.060000000e+02	9.096667343e-01
3.070000000e+02	9.189018659e-01
3.080000000e+02	9.281209922e-01
3.090000000e+02	9.373230012e-01
3.100000000e+02	9.465067955e-01
3.110000000e+02	9.556712923e-01
3.120000000e+02	9.648154236e-01
3.130000000e+02	9.739381362e-01
3.140000000e+02	9.830383918e-01
3.150000000e+02	9.921151675e-01
3.160000000e+02	1.001167455e+00
3.170000000e+02	1.010194263e+00
3.180000000e+02	1.019194612e+00
3.190000000e+02	1.028167541e+00
3.200000000e+02	1.037112104e+00
3.210000000e+02	1.046027369e+00
3.220000000e+02	1.054912422e+00
3.230000000e+02	1.063766361e+00
3.240000000e+02	1.072588302e+00
3.250000000e+02	1.081377378e+00
3.260000000e+02	1.090132733e+00
3.270000000e+02	1.098853532e+00
3.280000000e+02	1.107538951e+00
3.290000000e+02	1.116188185e+00
3.300000000e+02	1.124800442e+00
3.310000000e+02	1.133374946e+00
3.320000000e+02	1.141910940e+00
3.330000000e+02	1.150407676e+00
3.340000000e+02	1.158864428e+00
3.350000000e+02	1.167280481e+00
3.360000000e+02	1.175655138e+00
3.370000000e+02	1.183987714e+00
3.380000000e+02	1.192277543e+00
3.390000000e+02	1.200523972e+00
3.400000000e+02	1.208726364e+00
3.410000000e+02	1.216884096e+00
3.420000000e+02	1.224996560e+00
3.430000000e+02	1.233063164e+00
3.440000000e+02	1.241083330e+00
3.450000000e+02	1.249056495e+00
3.460000000e+02	1.256982110e+00
3.470000000e+02	1.264859641e+00
3.480000000e+02	1.272688569e+00
3.490000000e+02	1.280468387e+00
3.500000000e+02	1.288198604e+00
3.510000000e+02	1.295878743e+00
3.520000000e+02	1.303508341e+00
3.530000000e+02	1.311086948e+00
3.540000000e+02	1.318614128e+00
3.550000000e+02	1.326089460e+00
3.560000000e+02	1.333512534e+00
3.570000000e+02	1.340882955e+00
3.580000000e+02	1.348200341e+00
3.590000000e+02	1.355464323e+00
3.600000000e+02	1.362674545e+00
3.610000000e+02	1.369830663e+00
3.620000000e+02	1.376932348e+00
3.630000000e+02	1.383979280e+00
3.640000000e+02	1.390971156e+00
3.650000000e+02	1.397907680e+00
3.660000000e+02	1.404788572e+00
3.670000000e+02	1.411613564e+00
3.680000000e+02	1.418382398e+00
3.690000000e+02	1.425094828e+00
3.700000000e+02	1.431750620e+00
3.710000000e+02	1.438349553e+00
3.720000000e+02	1.444891415e+00
3.730000000e+02	1.451376007e+00
3.740000000e+02	1.457803138e+00
3.750000000e+02	1.464172632e+00
3.760000000e+02	1.470484321e+00
3.770000000e+02	1.476738049e+00
3.780000000e+02	1.482933669e+00
3.790000000e+02	1.489071045e+00
3.800000000e+02	1.495150051e+00
3.810000000e+02	1.501170572e+00
3.820000000e+02	1.507132502e+00
3.830000000e+02	1.513035745e+00
3.840000000e+02	1.518880214e+00
3.850000000e+02	1.524665832e+00
3.860000000e+02	1.530392531e+00
3.870000000e+02	1.536060252e+00
3.880000000e+02	1.541668946e+00
3.890000000e+02	1.547218572e+00
3.900000000e+02	1.552709098e+00
3.910000000e+02	1.558140499e+00
3.920000000e+02	1.563512762e+00
3.930000000e+02	1.568825879e+00
3.940000000e+02	1.574079852e+00
3.950000000e+02	1.579274689e+00
3.960000000e+02	1.584410409e+00
3.970000000e+02	1.589487036e+00
3.980000000e+02	1.594504602e+00
3.990000000e+02	1.599463149e+00
4.000000000e+02	1.604362722e+00
4.010000000e+02	1.609203377e+00
4.020000000e+02	1.613985175e+00
4.030000000e+02	1.618708185e+00
4.040000000e+02	1.623372483e+00
4.050000000e+02	1.627978150e+00
4.060000000e+02	1.632525274e+00
4.070000000e+02	1.637013952e+00
4.080000000e+02	1.641444283e+00
4.090000000e+02	1.645816376e+00
4.100000000e+02	1.650130344e+00
4.110000000e+02	1.654386306e+00
4.120000000e+02	1.658584388e+00
4.130000000e+02	1.662724720e+00
4.140000000e+02	1.666807439e+00
4.150000000e+02	1.670832686e+00
4.160000000e+02	1.674800609e+00
4.170000000e+02	1.678711359e+00
4.180000000e+02	1.682565095e+00
4.190000000e+02	1.686361978e+00
4.200000000e+02	1.690102175e+00
4.210000000e+02	1.693785859e+00
4.220000000e+02	1.697413206e+00
4.230000000e+02	1.700984397e+00
4.240000000e+02	1.704499617e+00
4.250000000e+02	1.707959055e+00
4.260000000e+02	1.711362907e+00
4.270000000e+02	1.714711369e+00
4.280000000e+02	1.718004644e+00
4.290000000e+02	1.721242937e+00
4.300000000e+02	1.724426458e+00
4.310000000e+02	1.727555420e+00
4.320000000e+02	1.730630040e+00
4.330000000e+02	1.733650539e+00
4.340000000e+02	1.736617139e+00
4.350000000e+02	1.739530068e+00
4.360000000e+02	1.742389556e+00
4.370000000e+02	1.745195836e+00
4.380000000e+02	1.747949144e+00
4.390000000e+02	1.750649720e+00
4.400000000e+02	1.753297806e+00
4.410000000e+02	1.755893645e+00
4.420000000e+02	1.758437486e+00
4.430000000e+02	1.760929578e+00
4.440000000e+02	1.763370173e+00
4.450000000e+02	1.765759528e+00
4.460000000e+02	1.768097898e+00
4.470000000e+02	1.770385542e+00
4.480000000e+02	1.772622724e+00
4.490000000e+02	1.774809705e+00
4.500000000e+02	1.776946752e+00
4.510000000e+02	1.779034132e+00
4.520000000e+02	1.781072114e+00
4.530000000e+02	1.783060970e+00
4.540000000e+02	1.785000972e+00
4.550000000e+02	1.786892395e+00
4.560000000e+02	1.788735514e+00
4.570000000e+02	1.790530608e+00
4.580000000e+02	1.792277956e+00
4.590000000e+02	1.793977837e+00
4.600000000e+02	1.795630533e+00
4.610000000e+02	1.797236327e+00
4.620000000e+02	1.798795504e+00
4.630000000e+02	1.800308347e+00
4.640000000e+02	1.801775144e+00
4.650000000e+02	1.803196181e+00
4.660000000e+02	1.804571747e+00
4.670000000e+02	1.805902130e+00
4.680000000e+02	1.807187620e+00
4.690000000e+02	1.808428507e+00
4.700000000e+02	1.809625084e+00
4.710000000e+02	1.810777641e+00
4.720000000e+02	1.811886471e+00
4.730000000e+02	1.812951867e+00
4.740000000e+02	1.813974122e+00
4.750000000e+02	1.814953531e+00
4.760000000e+02	1.815890387e+00
4.770000000e+02	1.816784985e+00
4.780000000e+02	1.817637620e+00
4.790000000e+02	1.818448588e+00
4.800000000e+02	1.819218183e+00
4.810000000e+02	1.819946700e+00
4.820000000e+02	1.820634437e+00
4.830000000e+02	1.821281687e+00
4.840000000e+02	1.821888747e+00
4.850000000e+02	1.822455913e+00
4.860000000e+02	1.822983481e+00
4.870000000e+02	1.823471745e+00
4.880000000e+02	1.823921001e+00
4.890000000e+02	1.824331544e+00
4.900000000e+02	1.824703670e+00
4.910000000e+02	1.825037673e+00
4.920000000e+02	1.825333847e+00
4.930000000e+02	1.825592488e+00
4.940000000e+02	1.825813888e+00
4.950000000e+02	1.825998341e+00
4.960000000e+02	1.826146140e+00
4.970000000e+02	1.826257578e+00
4.980000000e+02	1.826332947e+00
4.990000000e+02	1.826372538e+00
5.000000000e+02	1.826376643e+00
5.010000000e+02	1.826345551e+00
5.020000000e+02	1.826279554e+00
5.030000000e+02	1.826178939e+00
5.040000000e+02	1.826043996e+00
5.050000000e+02	1.825875013e+00
5.060000000e+02	1.825672277e+00
5.070000000e+02	1.825436075e+00
5.080000000e+02	1.825166691e+00
5.090000000e+02	1.824864412e+00
5.100000000e+02	1.824529522e+00
5.110000000e+02	1.824162303e+00
5.120000000e+02	1.823763039e+00
5.130000000e+02	1.823332010e+00
5.140000000e+02	1.822869499e+00
5.150000000e+02	1.822375785e+00
5.160000000e+02	1.821851146e+00
5.170000000e+02	1.821295861e+00
5.180000000e+02	1.820710207e+00
5.190000000e+02	1.820094460e+00
5.200000000e+02	1.819448895e+00
5.210000000e+02	1.818773786e+00
5.220000000e+02	1.818069406e+00
5.230000000e+02	1.817336027e+00
5.240000000e+02	1.816573921e+00
5.250000000e+02	1.815783356e+00
5.260000000e+02	1.814964603e+00
5.270000000e+02	1.814117928e+00
5.280000000e+02	1.813243598e+00
5.290000000e+02	1.812341878e+00
5.300000000e+02	1.811413033e+00
5.310000000e+02	1.810457326e+00
5.320000000e+02	1.809475019e+00
5.330000000e+02	1.808466372e+00
5.340000000e+02	1.807431646e+00
5.350000000e+02	1.806371098e+00
5.360000000e+02	1.805284986e+00
5.370000000e+02	1.804173566e+00
5.380000000e+02	1.803037092e+00
5.390000000e+02	1.801875818e+00
5.400000000e+02	1.800689996e+00
5.410000000e+02	1.799479877e+00
5.420000000e+02	1.798245711e+00
5.430000000e+02	1.796987747e+00
5.440000000e+02	1.795706230e+00
5.450000000e+02	1.794401409e+00
5.460000000e+02	1.793073526e+00
5.470000000e+02	1.791722825e+00
5.480000000e+02	1.790349548e+00
5.490000000e+02	1.788953936e+00
5.500000000e+02	1.787536228e+00
5.510000000e+02	1.786096663e+00
5.520000000e+02	1.784635476e+00
5.530000000e+02	1.783152904e+00
5.540000000e+02	1.781649180e+00
5.550000000e+02	1.780124537e+00
5.560000000e+02	1.778579206e+00
5.570000000e+02	1.777013417e+00
5.580000000e+02	1.775427400e+00
5.590000000e+02	1.773821381e+00
5.600000000e+02	1.772195586e+00
5.610000000e+02	1.770550240e+00
5.620000000e+02	1.768885566e+00
5.630000000e+02	1.767201786e+00
5.640000000e+02	1.765499120e+00
5.650000000e+02	1.763777788e+00
5.660000000e+02	1.762038007e+00
5.670000000e+02	1.760279995e+00
5.680000000e+02	1.758503965e+00
5.690000000e+02	1.756710131e+00
5.700000000e+02	1.754898707e+00
5.710000000e+02	1.753069902e+00
5.720000000e+02	1.751223926e+00
5.730000000e+02	1.749360989e+00
5.740000000e+02	1.747481295e+00
5.750000000e+02	1.745585052e+00
5.760000000e+02	1.743672462e+00
5.770000000e+02	1.741743730e+00
5.780000000e+02	1.739799055e+00
5.790000000e+02	1.737838639e+00
5.800000000e+02	1.735862679e+00
5.810000000e+02	1.733871374e+00
5.820000000e+02	1.731864918e+00
5.830000000e+02	1.729843508e+00
5.840000000e+02	1.727807335e+00
5.850000000e+02	1.725756592e+00
5.860000000e+02	1.723691469e+00
5.870000000e+02	1.721612156e+00
5.880000000e+02	1.719518840e+00
5.890000000e+02	1.717411708e+00
5.900000000e+02	1.715290945e+00
5.910000000e+02	1.713156735e+00
5.920000000e+02	1.711009260e+00
5.930000000e+02	1.708848701e+00
5.940000000e+02	1.706675239e+00
5.950000000e+02	1.704489052e+00
5.960000000e+02	1.702290316e+00
5.970000000e+02	1.700079209e+00
5.980000000e+02	1.697855904e+00
5.990000000e+02	1.695620575e+00
6.000000000e+02	1.693373393e+00
6.010000000e+02	1.691114530e+00
6.020000000e+02	1.688844155e+00
6.030000000e+02	1.686562436e+00
6.040000000e+02	1.684269539e+00
6.050000000e+02	1.681965630e+00
6.060000000e+02	1.679650873e+00
6.070000000e+02	1.677325432e+00
6.080000000e+02	1.674989468e+00
6.090000000e+02	1.672643141e+00
6.100000000e+02	1.670286610e+00
6.110000000e+02	1.667920034e+00
6.120000000e+02	1.665543569e+00
6.130000000e+02	1.663157371e+00
6.140000000e+02	1.660761593e+00
