ref: simulated example

wavelength (nm)	n	k
2.500000e+02	1.366045e+00	2.387345e-02
2.510000e+02	1.365423e+00	2.454427e-02
2.520000e+02	1.364796e+00	2.523665e-02
2.530000e+02	1.364165e+00	2.595136e-02
2.540000e+02	1.363530e+00	2.668917e-02
2.550000e+02	1.362891e+00	2.745087e-02
2.560000e+02	1.362249e+00	2.823726e-02
2.570000e+02	1.361604e+00	2.904918e-02
2.580000e+02	1.360957e+00	2.988744e-02
2.590000e+02	1.360308e+00	3.075290e-02
2.600000e+02	1.359658e+00	3.164742e-02
2.610000e+02	1.359007e+00	3.257147e-02
2.620000e+02	1.358356e+00	3.352560e-02
2.630000e+02	1.357706e+00	3.451068e-02
2.640000e+02	1.357058e+00	3.552762e-02
2.650000e+02	1.356412e+00	3.657852e-02
2.660000e+02	1.355769e+00	3.766463e-02
2.670000e+02	1.355131e+00	3.878562e-02
2.680000e+02	1.354498e+00	3.994235e-02
2.690000e+02	1.353873e+00	4.113768e-02
2.700000e+02	1.353255e+00	4.237253e-02
2.710000e+02	1.352647e+00	4.364610e-02
2.720000e+02	1.352050e+00	4.496012e-02
2.730000e+02	1.351467e+00	4.631853e-02
2.740000e+02	1.350897e+00	4.771840e-02
2.750000e+02	1.350343e+00	4.916187e-02
2.760000e+02	1.349809e+00	5.065288e-02
2.770000e+02	1.349295e+00	5.218767e-02
2.780000e+02	1.348804e+00	5.377077e-02
2.790000e+02	1.348338e+00	5.540205e-02
2.800000e+02	1.347899e+00	5.707941e-02
2.810000e+02	1.347494e+00	5.881014e-02
2.820000e+02	1.347120e+00	6.058703e-02
2.830000e+02	1.346785e+00	6.241707e-02
2.840000e+02	1.346488e+00	6.429564e-02
2.850000e+02	1.346237e+00	6.622583e-02
2.860000e+02	1.346032e+00	6.820621e-02
2.870000e+02	1.345878e+00	7.023669e-02
2.880000e+02	1.345779e+00	7.231726e-02
2.890000e+02	1.345739e+00	7.444637e-02
2.900000e+02	1.345763e+00	7.662350e-02
2.910000e+02	1.345855e+00	7.884733e-02
2.920000e+02	1.346017e+00	8.111498e-02
2.930000e+02	1.346259e+00	8.342688e-02
2.940000e+02	1.346577e+00	8.577636e-02
2.950000e+02	1.346988e+00	8.816647e-02
2.960000e+02	1.347481e+00	9.058750e-02
2.970000e+02	1.348077e+00	9.304097e-02
2.980000e+02	1.348768e+00	9.551925e-02
2.990000e+02	1.349560e+00	9.801829e-02
3.000000e+02	1.350467e+00	1.005342e-01
3.010000e+02	1.351477e+00	1.030595e-01
3.020000e+02	1.352609e+00	1.055889e-01
3.030000e+02	1.353858e+00	1.081152e-01
3.040000e+02	1.355221e+00	1.106324e-01
3.050000e+02	1.356717e+00	1.131302e-01
3.060000e+02	1.358334e+00	1.156026e-01
3.070000e+02	1.360070e+00	1.180432e-01
3.080000e+02	1.361941e+00	1.204372e-01
3.090000e+02	1.363937e+00	1.227797e-01
3.100000e+02	1.366050e+00	1.250644e-01
3.110000e+02	1.368288e+00	1.272772e-01
3.120000e+02	1.370651e+00	1.294065e-01
