ref: simulated example

wavelength (nm)	n	k
2.500000e+02	1.339891e+00	5.328128e-02
2.510000e+02	1.339062e+00	5.527471e-02
2.520000e+02	1.338260e+00	5.734630e-02
2.530000e+02	1.337489e+00	5.949830e-02
2.540000e+02	1.336754e+00	6.173282e-02
2.550000e+02	1.336060e+00	6.405182e-02
2.560000e+02	1.335413e+00	6.645709e-02
2.570000e+02	1.334817e+00	6.895012e-02
2.580000e+02	1.334279e+00	7.153217e-02
2.590000e+02	1.333806e+00	7.420413e-02
2.600000e+02	1.333407e+00	7.696966e-02
2.610000e+02	1.333088e+00	7.982736e-02
2.620000e+02	1.332857e+00	8.277559e-02
2.630000e+02	1.332722e+00	8.581330e-02
2.640000e+02	1.332690e+00	8.893881e-02
2.650000e+02	1.332774e+00	9.215281e-02
2.660000e+02	1.332986e+00	9.545224e-02
2.670000e+02	1.333330e+00	9.882985e-02
2.680000e+02	1.333814e+00	1.022807e-01
2.690000e+02	1.334457e+00	1.058021e-01
2.700000e+02	1.335267e+00	1.093860e-01
2.710000e+02	1.336247e+00	1.130212e-01
2.720000e+02	1.337409e+00	1.166996e-01
2.730000e+02	1.338775e+00	1.204119e-01
2.740000e+02	1.340336e+00	1.241429e-01
2.750000e+02	1.342105e+00	1.278803e-01
2.760000e+02	1.344103e+00	1.316079e-01
2.770000e+02	1.346312e+00	1.353110e-01
2.780000e+02	1.348755e+00	1.389702e-01
2.790000e+02	1.351429e+00	1.425668e-01
2.800000e+02	1.354322e+00	1.460872e-01
2.810000e+02	1.357463e+00	1.494977e-01
2.820000e+02	1.360813e+00	1.527952e-01
2.830000e+02	1.364396e+00	1.559423e-01
2.840000e+02	1.368183e+00	1.589324e-01
2.850000e+02	1.372175e+00	1.617366e-01
2.860000e+02	1.376354e+00	1.643400e-01
2.870000e+02	1.380706e+00	1.667249e-01
2.880000e+02	1.385215e+00	1.688718e-01
2.890000e+02	1.389859e+00	1.707707e-01
2.900000e+02	1.394619e+00	1.724060e-01
2.910000e+02	1.399472e+00	1.737678e-01
2.920000e+02	1.404394e+00	1.748554e-01
2.930000e+02	1.409363e+00	1.756484e-01
2.940000e+02	1.414352e+00	1.761739e-01
2.950000e+02	1.419338e+00	1.763886e-01
2.960000e+02	1.424299e+00	1.763468e-01
2.970000e+02	1.429206e+00	1.760084e-01
2.980000e+02	1.434044e+00	1.754138e-01
2.990000e+02	1.438791e+00	1.745680e-01
3.000000e+02	1.443421e+00	1.734630e-01
3.010000e+02	1.447933e+00	1.721458e-01
3.020000e+02	1.452294e+00	1.706024e-01
3.030000e+02	1.456500e+00	1.688622e-01
3.040000e+02	1.460552e+00	1.669531e-01
3.050000e+02	1.464413e+00	1.648660e-01
3.060000e+02	1.468098e+00	1.626383e-01
3.070000e+02	1.471609e+00	1.602898e-01
3.080000e+02	1.474916e+00	1.578211e-01
3.090000e+02	1.478037e+00	1.552600e-01
3.100000e+02	1.480978e+00	1.526247e-01
3.110000e+02	1.483727e+00	1.499241e-01
3.120000e+02	1.486284e+00	1.471724e-01
3.130000e+02	1.488668e+00	1.443869e-01
3.140000e+02	1.490885e+00	1.415783e-01
3.150000e+02	1.492918e+00	1.387564e-01
3.160000e+02	1.494788e+00	1.359327e-01
3.170000e+02	1.496507e+00	1.331159e-01
3.180000e+02	1.498081e+00	1.303135e-01
3.190000e+02	1.499503e+00	1.275347e-01
3.200000e+02	1.500786e+00	1.247859e-01
3.210000e+02	1.501944e+00	1.220706e-01
3.220000e+02	1.502984e+00	1.193934e-01
3.230000e+02	1.503911e+00	1.167581e-01
3.240000e+02	1.504723e+00	1.141727e-01
3.250000e+02	1.505432e+00	1.116377e-01
3.260000e+02	1.506049e+00	1.091533e-01
3.270000e+02	1.506579e+00	1.067213e-01
3.280000e+02	1.507028e+00	1.043431e-01
3.290000e+02	1.507401e+00	1.020196e-01
3.300000e+02	1.507699e+00	9.975561e-02
3.310000e+02	1.507928e+00	9.754955e-02
3.320000e+02	1.508097e+00	9.539931e-02
3.330000e+02	1.508210e+00	9.330476e-02
3.340000e+02	1.508271e+00	9.126557e-02
3.350000e+02	1.508284e+00	8.928128e-02
3.360000e+02	1.508253e+00	8.735124e-02
3.370000e+02	1.508180e+00	8.547471e-02
