ref: simulated example

wavelength (nm)	n	k
2.500000e+02	1.070733e+00	1.081770e+00
2.510000e+02	1.076704e+00	1.093043e+00
2.520000e+02	1.082835e+00	1.104229e+00
2.530000e+02	1.089123e+00	1.115326e+00
2.540000e+02	1.095567e+00	1.126332e+00
2.550000e+02	1.102165e+00	1.137243e+00
2.560000e+02	1.108915e+00	1.148057e+00
2.570000e+02	1.115814e+00	1.158772e+00
2.580000e+02	1.122860e+00	1.169385e+00
2.590000e+02	1.130052e+00	1.179893e+00
2.600000e+02	1.137392e+00	1.190291e+00
2.610000e+02	1.144875e+00	1.200577e+00
2.620000e+02	1.152497e+00	1.210750e+00
2.630000e+02	1.160255e+00	1.220808e+00
2.640000e+02	1.168146e+00	1.230749e+00
2.650000e+02	1.176174e+00	1.240567e+00
2.660000e+02	1.184335e+00	1.250257e+00
2.670000e+02	1.192622e+00	1.259822e+00
2.680000e+02	1.201032e+00	1.269261e+00
2.690000e+02	1.209568e+00	1.278565e+00
2.700000e+02	1.218228e+00	1.287730e+00
2.710000e+02	1.227001e+00	1.296763e+00
2.720000e+02	1.235889e+00	1.305656e+00
2.730000e+02	1.244894e+00	1.314400e+00
2.740000e+02	1.254004e+00	1.323003e+00
2.750000e+02	1.263219e+00	1.331461e+00
2.760000e+02	1.272542e+00	1.339760e+00
2.770000e+02	1.281959e+00	1.347915e+00
2.780000e+02	1.291475e+00	1.355910e+00
2.790000e+02	1.301083e+00	1.363748e+00
2.800000e+02	1.310775e+00	1.371434e+00
2.810000e+02	1.320560e+00	1.378945e+00
2.820000e+02	1.330419e+00	1.386305e+00
2.830000e+02	1.340360e+00	1.393490e+00
2.840000e+02	1.350371e+00	1.400514e+00
2.850000e+02	1.360452e+00	1.407365e+00
2.860000e+02	1.370597e+00	1.414047e+00
2.870000e+02	1.380802e+00	1.420557e+00
2.880000e+02	1.391063e+00	1.426893e+00
2.890000e+02	1.401374e+00	1.433055e+00
2.900000e+02	1.411732e+00	1.439041e+00
2.910000e+02	1.422133e+00	1.444848e+00
2.920000e+02	1.432569e+00	1.450482e+00
2.930000e+02	1.443039e+00	1.455932e+00
2.940000e+02	1.453534e+00	1.461214e+00
2.950000e+02	1.464053e+00	1.466301e+00
2.960000e+02	1.474587e+00	1.471226e+00
2.970000e+02	1.485135e+00	1.475958e+00
2.980000e+02	1.495689e+00	1.480518e+00
2.990000e+02	1.506245e+00	1.484904e+00
3.000000e+02	1.516797e+00	1.489102e+00
3.010000e+02	1.527342e+00	1.493137e+00
3.020000e+02	1.537872e+00	1.496987e+00
3.030000e+02	1.548384e+00	1.500663e+00
3.040000e+02	1.558874e+00	1.504179e+00
3.050000e+02	1.569332e+00	1.507509e+00
3.060000e+02	1.579757e+00	1.510675e+00
3.070000e+02	1.590147e+00	1.513685e+00
3.080000e+02	1.600489e+00	1.516517e+00
3.090000e+02	1.610784e+00	1.519191e+00
3.100000e+02	1.621030e+00	1.521714e+00
3.110000e+02	1.631216e+00	1.524078e+00
3.120000e+02	1.641338e+00	1.526282e+00
3.130000e+02	1.651397e+00	1.528345e+00
3.140000e+02	1.661390e+00	1.530268e+00
3.150000e+02	1.671303e+00	1.532039e+00
3.160000e+02	1.681139e+00	1.533672e+00
3.170000e+02	1.690896e+00	1.535177e+00
3.180000e+02	1.700572e+00	1.536557e+00
3.190000e+02	1.710156e+00	1.537806e+00
