ref: simulated example

wavelength (nm)	n	k
2.500000e+02	2.360042e+00	7.356678e-01
2.510000e+02	2.356346e+00	7.483039e-01
2.520000e+02	2.352976e+00	7.610610e-01
2.530000e+02	2.349937e+00	7.739283e-01
2.540000e+02	2.347237e+00	7.868942e-01
2.550000e+02	2.344881e+00	7.999470e-01
2.560000e+02	2.342875e+00	8.130742e-01
2.570000e+02	2.341223e+00	8.262631e-01
2.580000e+02	2.339929e+00	8.395006e-01
2.590000e+02	2.338998e+00	8.527733e-01
2.600000e+02	2.338443e+00	8.660679e-01
2.610000e+02	2.338261e+00	8.793690e-01
2.620000e+02	2.338448e+00	8.926621e-01
2.630000e+02	2.339005e+00	9.059331e-01
2.640000e+02	2.339930e+00	9.191677e-01
2.650000e+02	2.341237e+00	9.323495e-01
2.660000e+02	2.342924e+00	9.454619e-01
2.670000e+02	2.344975e+00	9.584930e-01
2.680000e+02	2.347386e+00	9.714289e-01
2.690000e+02	2.350172e+00	9.842498e-01
2.700000e+02	2.353325e+00	9.969402e-01
2.710000e+02	2.356823e+00	1.009492e+00
2.720000e+02	2.360669e+00	1.021890e+00
2.730000e+02	2.364877e+00	1.034107e+00
2.740000e+02	2.369409e+00	1.046146e+00
2.750000e+02	2.374267e+00	1.057988e+00
2.760000e+02	2.379462e+00	1.069608e+00
2.770000e+02	2.384954e+00	1.081014e+00
2.780000e+02	2.390756e+00	1.092176e+00
2.790000e+02	2.396852e+00	1.103087e+00
2.800000e+02	2.403215e+00	1.113752e+00
2.810000e+02	2.409871e+00	1.124123e+00
2.820000e+02	2.416765e+00	1.134234e+00
2.830000e+02	2.423920e+00	1.144036e+00
2.840000e+02	2.431298e+00	1.153550e+00
2.850000e+02	2.438901e+00	1.162750e+00
2.860000e+02	2.446709e+00	1.171637e+00
2.870000e+02	2.454710e+00	1.180201e+00
2.880000e+02	2.462890e+00	1.188434e+00
2.890000e+02	2.471234e+00	1.196336e+00
2.900000e+02	2.479729e+00	1.203896e+00
2.910000e+02	2.488361e+00	1.211112e+00
2.920000e+02	2.497111e+00	1.217987e+00
2.930000e+02	2.505971e+00	1.224501e+00
2.940000e+02	2.514917e+00	1.230686e+00
2.950000e+02	2.523948e+00	1.236486e+00
2.960000e+02	2.533035e+00	1.241965e+00
2.970000e+02	2.542174e+00	1.247064e+00
2.980000e+02	2.551345e+00	1.251825e+00
2.990000e+02	2.560535e+00	1.256242e+00
3.000000e+02	2.569731e+00	1.260289e+00
3.010000e+02	2.578918e+00	1.264016e+00
3.020000e+02	2.588083e+00	1.267382e+00
3.030000e+02	2.597212e+00	1.270411e+00
3.040000e+02	2.606297e+00	1.273130e+00
3.050000e+02	2.615315e+00	1.275489e+00
3.060000e+02	2.624263e+00	1.277537e+00
3.070000e+02	2.633131e+00	1.279286e+00
3.080000e+02	2.641896e+00	1.280700e+00
3.090000e+02	2.650555e+00	1.281817e+00
3.100000e+02	2.659104e+00	1.282653e+00
3.110000e+02	2.667522e+00	1.283195e+00
3.120000e+02	2.675797e+00	1.283445e+00
3.130000e+02	2.683934e+00	1.283438e+00
3.140000e+02	2.691923e+00	1.283180e+00
3.150000e+02	2.699738e+00	1.282650e+00
3.160000e+02	2.707384e+00	1.281877e+00
3.170000e+02	2.714860e+00	1.280880e+00
3.180000e+02	2.722161e+00	1.279667e+00
3.190000e+02	2.729264e+00	1.278228e+00
3.200000e+02	2.736168e+00	1.276581e+00
3.210000e+02	2.742879e+00	1.274746e+00
3.220000e+02	2.749394e+00	1.272732e+00
3.230000e+02	2.755709e+00	1.270549e+00
3.240000e+02	2.761800e+00	1.268192e+00
3.250000e+02	2.767676e+00	1.265680e+00
3.260000e+02	2.773343e+00	1.263029e+00
3.270000e+02	2.778799e+00	1.260248e+00
3.280000e+02	2.784041e+00	1.257346e+00
3.290000e+02	2.789070e+00	1.254332e+00
3.300000e+02	2.793868e+00	1.251209e+00
3.310000e+02	2.798443e+00	1.247991e+00
3.320000e+02	2.802803e+00	1.244691e+00
3.330000e+02	2.806949e+00	1.241316e+00
3.340000e+02	2.810883e+00	1.237877e+00
3.350000e+02	2.814604e+00	1.234381e+00
3.360000e+02	2.818116e+00	1.230837e+00
3.370000e+02	2.821419e+00	1.227253e+00
3.380000e+02	2.824516e+00	1.223638e+00
3.390000e+02	2.827398e+00	1.219997e+00
3.400000e+02	2.830078e+00	1.216341e+00
3.410000e+02	2.832563e+00	1.212678e+00
3.420000e+02	2.834856e+00	1.209013e+00
3.430000e+02	2.836960e+00	1.205354e+00
3.440000e+02	2.838880e+00	1.201708e+00
3.450000e+02	2.840620e+00	1.198081e+00
3.460000e+02	2.842185e+00	1.194479e+00
3.470000e+02	2.843579e+00	1.190908e+00
3.480000e+02	2.844809e+00	1.187374e+00
3.490000e+02	2.845878e+00	1.183881e+00
3.500000e+02	2.846792e+00	1.180434e+00
3.510000e+02	2.847558e+00	1.177039e+00
3.520000e+02	2.848180e+00	1.173700e+00
3.530000e+02	2.848665e+00	1.170420e+00
3.540000e+02	2.849019e+00	1.167204e+00
3.550000e+02	2.849247e+00	1.164055e+00
3.560000e+02	2.849357e+00	1.160975e+00
3.570000e+02	2.849355e+00	1.157968e+00
3.580000e+02	2.849247e+00	1.155035e+00
3.590000e+02	2.849039e+00	1.152180e+00
3.600000e+02	2.848739e+00	1.149403e+00
3.610000e+02	2.848353e+00	1.146706e+00
3.620000e+02	2.847888e+00	1.144091e+00
3.630000e+02	2.847349e+00	1.141556e+00
3.640000e+02	2.846745e+00	1.139104e+00
3.650000e+02	2.846080e+00	1.136733e+00
3.660000e+02	2.845363e+00	1.134443e+00
3.670000e+02	2.844598e+00	1.132236e+00
3.680000e+02	2.843791e+00	1.130114e+00
3.690000e+02	2.842951e+00	1.128070e+00
3.700000e+02	2.842083e+00	1.126103e+00
3.710000e+02	2.841196e+00	1.124210e+00
3.720000e+02	2.840293e+00	1.122389e+00
3.730000e+02	2.839381e+00	1.120636e+00
3.740000e+02	2.838466e+00	1.118948e+00
3.750000e+02	2.837552e+00	1.117322e+00
3.760000e+02	2.836645e+00	1.115755e+00
3.770000e+02	2.835750e+00	1.114244e+00
3.780000e+02	2.834875e+00	1.112787e+00
3.790000e+02	2.834020e+00	1.111374e+00
3.800000e+02	2.833192e+00	1.110000e+00
3.810000e+02	2.832392e+00	1.108659e+00
3.820000e+02	2.831624e+00	1.107346e+00
3.830000e+02	2.830891e+00	1.106056e+00
3.840000e+02	2.830197e+00	1.104784e+00
3.850000e+02	2.829550e+00	1.103523e+00
3.860000e+02	2.828944e+00	1.102265e+00
3.870000e+02	2.828381e+00	1.101003e+00
3.880000e+02	2.827862e+00	1.099732e+00
3.890000e+02	2.827385e+00	1.098445e+00
3.900000e+02	2.826957e+00	1.097135e+00
3.910000e+02	2.826579e+00	1.095790e+00
3.920000e+02	2.826243e+00	1.094407e+00
3.930000e+02	2.825946e+00	1.092983e+00
3.940000e+02	2.825687e+00	1.091511e+00
3.950000e+02	2.825466e+00	1.089982e+00
3.960000e+02	2.825285e+00	1.088376e+00
3.970000e+02	2.825133e+00	1.086704e+00
3.980000e+02	2.825005e+00	1.084960e+00
3.990000e+02	2.824898e+00	1.083141e+00
4.000000e+02	2.824812e+00	1.081225e+00
4.010000e+02	2.824737e+00	1.079208e+00
4.020000e+02	2.824667e+00	1.077101e+00
4.030000e+02	2.824598e+00	1.074903e+00
4.040000e+02	2.824524e+00	1.072602e+00
4.050000e+02	2.824434e+00	1.070168e+00
4.060000e+02	2.824325e+00	1.067633e+00
4.070000e+02	2.824193e+00	1.064998e+00
4.080000e+02	2.824030e+00	1.062253e+00
4.090000e+02	2.823815e+00	1.059361e+00
4.100000e+02	2.823556e+00	1.056366e+00
4.110000e+02	2.823249e+00	1.053269e+00
4.120000e+02	2.822879e+00	1.050051e+00
4.130000e+02	2.822424e+00	1.046694e+00
4.140000e+02	2.821902e+00	1.043240e+00
4.150000e+02	2.821310e+00	1.039689e+00
4.160000e+02	2.820608e+00	1.036003e+00
4.170000e+02	2.819806e+00	1.032210e+00
4.180000e+02	2.818918e+00	1.028328e+00
4.190000e+02	2.817927e+00	1.024350e+00
4.200000e+02	2.816788e+00	1.020247e+00
4.210000e+02	2.815548e+00	1.016069e+00
4.220000e+02	2.814208e+00	1.011818e+00
4.230000e+02	2.812694e+00	1.007454e+00
4.240000e+02	2.811058e+00	1.003022e+00
4.250000e+02	2.809313e+00	9.985302e-01
4.260000e+02	2.807399e+00	9.939556e-01
4.270000e+02	2.805333e+00	9.893175e-01
4.280000e+02	2.803152e+00	9.846349e-01
4.290000e+02	2.800806e+00	9.798932e-01
4.300000e+02	2.798287e+00	9.751013e-01
4.310000e+02	2.795652e+00	9.702791e-01
4.320000e+02	2.792850e+00	9.654176e-01
4.330000e+02	2.789867e+00	9.605240e-01
4.340000e+02	2.786769e+00	9.556131e-01
4.350000e+02	2.783496e+00	9.506804e-01
4.360000e+02	2.780048e+00	9.457349e-01
4.370000e+02	2.776488e+00	9.407837e-01
4.380000e+02	2.772738e+00	9.358282e-01
4.390000e+02	2.768830e+00	9.308767e-01
4.400000e+02	2.764817e+00	9.259292e-01
4.410000e+02	2.760591e+00	9.209973e-01
4.420000e+02	2.756238e+00	9.160806e-01
4.430000e+02	2.751776e+00	9.111768e-01
4.440000e+02	2.747091e+00	9.063102e-01
4.450000e+02	2.742310e+00	9.014632e-01
4.460000e+02	2.737387e+00	8.966464e-01
4.470000e+02	2.732288e+00	8.918742e-01
4.480000e+02	2.727101e+00	8.871259e-01
4.490000e+02	2.721730e+00	8.824327e-01
4.500000e+02	2.716242e+00	8.777799e-01
4.510000e+02	2.710654e+00	8.731609e-01
4.520000e+02	2.704873e+00	8.686160e-01
4.530000e+02	2.699019e+00	8.641017e-01
4.540000e+02	2.693012e+00	8.596526e-01
4.550000e+02	2.686884e+00	8.552605e-01
4.560000e+02	2.680676e+00	8.509058e-01
4.570000e+02	2.674285e+00	8.466446e-01
4.580000e+02	2.667833e+00	8.424163e-01
4.590000e+02	2.661239e+00	8.382667e-01
4.600000e+02	2.654542e+00	8.341780e-01
4.610000e+02	2.647763e+00	8.301379e-01
4.620000e+02	2.640831e+00	8.261939e-01
4.630000e+02	2.633851e+00	8.222821e-01
4.640000e+02	2.626718e+00	8.184724e-01
4.650000e+02	2.619518e+00	8.147098e-01
4.660000e+02	2.612217e+00	8.110200e-01
4.670000e+02	2.604809e+00	8.074094e-01
4.680000e+02	2.597344e+00	8.038420e-01
4.690000e+02	2.589737e+00	8.003853e-01
4.700000e+02	2.582096e+00	7.969571e-01
4.710000e+02	2.574317e+00	7.936410e-01
4.720000e+02	2.566490e+00	7.903668e-01
4.730000e+02	2.558561e+00	7.871789e-01
4.740000e+02	2.550556e+00	7.840591e-01
4.750000e+02	2.542482e+00	7.810005e-01
4.760000e+02	2.534308e+00	7.780349e-01
4.770000e+02	2.526092e+00	7.751068e-01
4.780000e+02	2.517754e+00	7.722947e-01
4.790000e+02	2.509395e+00	7.695034e-01
4.800000e+02	2.500907e+00	7.668385e-01
4.810000e+02	2.492394e+00	7.641981e-01
4.820000e+02	2.483774e+00	7.616656e-01
4.830000e+02	2.475114e+00	7.591749e-01
4.840000e+02	2.466365e+00	7.567751e-01
4.850000e+02	2.457562e+00	7.544326e-01
4.860000e+02	2.448688e+00	7.521660e-01
4.870000e+02	2.439747e+00	7.499700e-01
4.880000e+02	2.430748e+00	7.478368e-01
4.890000e+02	2.421674e+00	7.457857e-01
4.900000e+02	2.412553e+00	7.437861e-01
4.910000e+02	2.403350e+00	7.418780e-01
4.920000e+02	2.394108e+00	7.400123e-01
4.930000e+02	2.384779e+00	7.382456e-01
4.940000e+02	2.375418e+00	7.365141e-01
4.950000e+02	2.365966e+00	7.348869e-01
4.960000e+02	2.356487e+00	7.332898e-01
4.970000e+02	2.346915e+00	7.318005e-01
4.980000e+02	2.337319e+00	7.303382e-01
4.990000e+02	2.327629e+00	7.289852e-01
5.000000e+02	2.317916e+00	7.276582e-01
5.010000e+02	2.308110e+00	7.264397e-01
5.020000e+02	2.298281e+00	7.252487e-01
5.030000e+02	2.288362e+00	7.241633e-01
5.040000e+02	2.278417e+00	7.231089e-01
5.050000e+02	2.268386e+00	7.221552e-01
5.060000e+02	2.258324e+00	7.212384e-01
5.070000e+02	2.248183e+00	7.204150e-01
5.080000e+02	2.238004e+00	7.196370e-01
5.090000e+02	2.227754e+00	7.189427e-01
5.100000e+02	2.217457e+00	7.183047e-01
5.110000e+02	2.207100e+00	7.177384e-01
5.120000e+02	2.196684e+00	7.172420e-01
5.130000e+02	2.186221e+00	7.168026e-01
5.140000e+02	2.175685e+00	7.164497e-01
5.150000e+02	2.165117e+00	7.161362e-01
5.160000e+02	2.154460e+00	7.159290e-01
5.170000e+02	2.143788e+00	7.157403e-01
5.180000e+02	2.133008e+00	7.156814e-01
5.190000e+02	2.122228e+00	7.156224e-01
5.200000e+02	2.111328e+00	7.157087e-01
5.210000e+02	2.100424e+00	7.158008e-01
5.220000e+02	2.089420e+00	7.160135e-01
5.230000e+02	2.078389e+00	7.162599e-01
5.240000e+02	2.067283e+00	7.165983e-01
5.250000e+02	2.056123e+00	7.170028e-01
5.260000e+02	2.044915e+00	7.174664e-01
5.270000e+02	2.033624e+00	7.180331e-01
5.280000e+02	2.022316e+00	7.186212e-01
5.290000e+02	2.010891e+00	7.193550e-01
5.300000e+02	1.999467e+00	7.200888e-01
5.310000e+02	1.987924e+00	7.209728e-01
5.320000e+02	1.976363e+00	7.218789e-01
5.330000e+02	1.964720e+00	7.228915e-01
5.340000e+02	1.953021e+00	7.239760e-01
5.350000e+02	1.941279e+00	7.251163e-01
5.360000e+02	1.929438e+00	7.263859e-01
5.370000e+02	1.917598e+00	7.276554e-01
5.380000e+02	1.905615e+00	7.291150e-01
5.390000e+02	1.893631e+00	7.305770e-01
5.400000e+02	1.881551e+00	7.321700e-01
5.410000e+02	1.869420e+00	7.338329e-01
5.420000e+02	1.857245e+00	7.355581e-01
5.430000e+02	1.844965e+00	7.374310e-01
5.440000e+02	1.832686e+00	7.393039e-01
5.450000e+02	1.820266e+00	7.413797e-01
5.460000e+02	1.807835e+00	7.434729e-01
5.470000e+02	1.795324e+00	7.456876e-01
5.480000e+02	1.782740e+00	7.480124e-01
5.490000e+02	1.770139e+00	7.503631e-01
5.500000e+02	1.757400e+00	7.529321e-01
5.510000e+02	1.744661e+00	7.555011e-01
5.520000e+02	1.731818e+00	7.582420e-01
5.530000e+02	1.718924e+00	7.610690e-01
5.540000e+02	1.705997e+00	7.639520e-01
5.550000e+02	1.692946e+00	7.670521e-01
5.560000e+02	1.679896e+00	7.701523e-01
5.570000e+02	1.666733e+00	7.734616e-01
5.580000e+02	1.653527e+00	7.768516e-01
5.590000e+02	1.640288e+00	7.803082e-01
5.600000e+02	1.626929e+00	7.840062e-01
5.610000e+02	1.613570e+00	7.877042e-01
5.620000e+02	1.600108e+00	7.916277e-01
5.630000e+02	1.586599e+00	7.956535e-01
5.640000e+02	1.573071e+00	7.997270e-01
5.650000e+02	1.559418e+00	8.041022e-01
5.660000e+02	1.545765e+00	8.084773e-01
5.670000e+02	1.532036e+00	8.130615e-01
5.680000e+02	1.518246e+00	8.178089e-01
5.690000e+02	1.504457e+00	8.225563e-01
5.700000e+02	1.490546e+00	8.276859e-01
5.710000e+02	1.476631e+00	8.328300e-01
5.720000e+02	1.462677e+00	8.381181e-01
5.730000e+02	1.448650e+00	8.436847e-01
5.740000e+02	1.434623e+00	8.492512e-01
5.750000e+02	1.420530e+00	8.551296e-01
5.760000e+02	1.406409e+00	8.611451e-01
5.770000e+02	1.392286e+00	8.671717e-01
5.780000e+02	1.378093e+00	8.736632e-01
5.790000e+02	1.363900e+00	8.801548e-01
5.800000e+02	1.349693e+00	8.868107e-01
5.810000e+02	1.335457e+00	8.938048e-01
5.820000e+02	1.321220e+00	9.007989e-01
5.830000e+02	1.306977e+00	9.081127e-01
5.840000e+02	1.292730e+00	9.156347e-01
5.850000e+02	1.278483e+00	9.231567e-01
5.860000e+02	1.264261e+00	9.311514e-01
5.870000e+02	1.250042e+00	9.392240e-01
5.880000e+02	1.235831e+00	9.473452e-01
5.890000e+02	1.221686e+00	9.559872e-01
5.900000e+02	1.207542e+00	9.646291e-01
5.910000e+02	1.193434e+00	9.734375e-01
5.920000e+02	1.179415e+00	9.826620e-01
5.930000e+02	1.165396e+00	9.918864e-01
5.940000e+02	1.151461e+00	1.001381e+00
5.950000e+02	1.137623e+00	1.011194e+00
5.960000e+02	1.123785e+00	1.021007e+00
5.970000e+02	1.110093e+00	1.031174e+00
5.980000e+02	1.096496e+00	1.041572e+00
5.990000e+02	1.082899e+00	1.051970e+00
6.000000e+02	1.069521e+00	1.062782e+00
6.010000e+02	1.056225e+00	1.073752e+00
6.020000e+02	1.042930e+00	1.084722e+00
6.030000e+02	1.029929e+00	1.096139e+00
6.040000e+02	1.016996e+00	1.107658e+00
6.050000e+02	1.004062e+00	1.119176e+00
6.060000e+02	9.914960e-01	1.131145e+00
6.070000e+02	9.789808e-01	1.143176e+00
6.080000e+02	9.664656e-01	1.155208e+00
6.090000e+02	9.543781e-01	1.167667e+00
6.100000e+02	9.423319e-01	1.180167e+00
6.110000e+02	9.302857e-01	1.192668e+00
6.120000e+02	9.187078e-01	1.205550e+00
6.130000e+02	9.071727e-01	1.218466e+00
6.140000e+02	8.956376e-01	1.231383e+00
6.150000e+02	8.845865e-01	1.244619e+00
6.160000e+02	8.735945e-01	1.257893e+00
6.170000e+02	8.626026e-01	1.271168e+00
6.180000e+02	8.520824e-01	1.284690e+00
6.190000e+02	8.416548e-01	1.298260e+00
6.200000e+02	8.312273e-01	1.311831e+00
6.210000e+02	8.212308e-01	1.325577e+00
6.220000e+02	8.113780e-01	1.339382e+00
6.230000e+02	8.015252e-01	1.353186e+00
6.240000e+02	7.920364e-01	1.367101e+00
6.250000e+02	7.827586e-01	1.381080e+00
6.260000e+02	7.734809e-01	1.395058e+00
6.270000e+02	7.644777e-01	1.409094e+00
6.280000e+02	7.557664e-01	1.423189e+00
6.290000e+02	7.470550e-01	1.437285e+00
6.300000e+02	7.385114e-01	1.451401e+00
6.310000e+02	7.303508e-01	1.465563e+00
6.320000e+02	7.221901e-01	1.479725e+00
6.330000e+02	7.140781e-01	1.493889e+00
6.340000e+02	7.064469e-01	1.508071e+00
6.350000e+02	6.988157e-01	1.522254e+00
6.360000e+02	6.911845e-01	1.536436e+00
6.370000e+02	6.839800e-01	1.550603e+00
6.380000e+02	6.768530e-01	1.564767e+00
6.390000e+02	6.697261e-01	1.578931e+00
6.400000e+02	6.628696e-01	1.593066e+00
6.410000e+02	6.562194e-01	1.607178e+00
6.420000e+02	6.495693e-01	1.621290e+00
6.430000e+02	6.430329e-01	1.635383e+00
6.440000e+02	6.368307e-01	1.649416e+00
6.450000e+02	6.306286e-01	1.663449e+00
6.460000e+02	6.244265e-01	1.677483e+00
6.470000e+02	6.186041e-01	1.691425e+00
6.480000e+02	6.128210e-01	1.705357e+00
6.490000e+02	6.070379e-01	1.719289e+00
6.500000e+02	6.014592e-01	1.733160e+00
6.510000e+02	5.960666e-01	1.746973e+00
6.520000e+02	5.906740e-01	1.760787e+00
6.530000e+02	5.853196e-01	1.774587e+00
6.540000e+02	5.802899e-01	1.788269e+00
6.550000e+02	5.752603e-01	1.801951e+00
6.560000e+02	5.702306e-01	1.815633e+00
6.570000e+02	5.654201e-01	1.829222e+00
6.580000e+02	5.607272e-01	1.842762e+00
6.590000e+02	5.560342e-01	1.856302e+00
6.600000e+02	5.513911e-01	1.869818e+00
6.610000e+02	5.470102e-01	1.883209e+00
6.620000e+02	5.426292e-01	1.896599e+00
6.630000e+02	5.382483e-01	1.909990e+00
6.640000e+02	5.340497e-01	1.923283e+00
