ref: simulated example

wavelength (nm)	n	k
2.500000e+02	2.190657e+00	2.294165e-03
2.510000e+02	2.190473e+00	2.303534e-03
2.520000e+02	2.190289e+00	2.312905e-03
2.530000e+02	2.190106e+00	2.322278e-03
2.540000e+02	2.189922e+00	2.331653e-03
2.550000e+02	2.189739e+00	2.341029e-03
2.560000e+02	2.189555e+00	2.350406e-03
2.570000e+02	2.189372e+00	2.359785e-03
2.580000e+02	2.189188e+00	2.369166e-03
2.590000e+02	2.189004e+00	2.378549e-03
2.600000e+02	2.188821e+00	2.387933e-03
2.610000e+02	2.188637e+00	2.397318e-03
2.620000e+02	2.188453e+00	2.406705e-03
2.630000e+02	2.188269e+00	2.416094e-03
2.640000e+02	2.188086e+00	2.425484e-03
2.650000e+02	2.187902e+00	2.434876e-03
2.660000e+02	2.187718e+00	2.444270e-03
2.670000e+02	2.187534e+00	2.453665e-03
2.680000e+02	2.187351e+00	2.463061e-03
2.690000e+02	2.187167e+00	2.472460e-03
2.700000e+02	2.186983e+00	2.481860e-03
2.710000e+02	2.186799e+00	2.491261e-03
2.720000e+02	2.186615e+00	2.500664e-03
2.730000e+02	2.186431e+00	2.510069e-03
2.740000e+02	2.186248e+00	2.519475e-03
2.750000e+02	2.186064e+00	2.528883e-03
2.760000e+02	2.185880e+00	2.538293e-03
2.770000e+02	2.185696e+00	2.547704e-03
2.780000e+02	2.185512e+00	2.557116e-03
2.790000e+02	2.185328e+00	2.566531e-03
2.800000e+02	2.185144e+00	2.575947e-03
2.810000e+02	2.184960e+00	2.585364e-03
2.820000e+02	2.184776e+00	2.594783e-03
2.830000e+02	2.184592e+00	2.604204e-03
2.840000e+02	2.184408e+00	2.613626e-03
2.850000e+02	2.184224e+00	2.623050e-03
2.860000e+02	2.184040e+00	2.632476e-03
2.870000e+02	2.183856e+00	2.641903e-03
2.880000e+02	2.183672e+00	2.651332e-03
2.890000e+02	2.183487e+00	2.660762e-03
2.900000e+02	2.183303e+00	2.670194e-03
2.910000e+02	2.183119e+00	2.679627e-03
2.920000e+02	2.182935e+00	2.689063e-03
2.930000e+02	2.182751e+00	2.698499e-03
2.940000e+02	2.182567e+00	2.707938e-03
2.950000e+02	2.182382e+00	2.717378e-03
2.960000e+02	2.182198e+00	2.726819e-03
2.970000e+02	2.182014e+00	2.736263e-03
2.980000e+02	2.181830e+00	2.745708e-03
2.990000e+02	2.181645e+00	2.755154e-03
3.000000e+02	2.181461e+00	2.764602e-03
3.010000e+02	2.181277e+00	2.774052e-03
3.020000e+02	2.181093e+00	2.783503e-03
3.030000e+02	2.180908e+00	2.792956e-03
3.040000e+02	2.180724e+00	2.802411e-03
3.050000e+02	2.180539e+00	2.811867e-03
3.060000e+02	2.180355e+00	2.821325e-03
