ref: simulated example

wavelength (nm)	n	k
2.500000e+02	1.107144e+00	1.362477e+00
2.510000e+02	1.113053e+00	1.374920e+00
2.520000e+02	1.119091e+00	1.387353e+00
2.530000e+02	1.125257e+00	1.399777e+00
2.540000e+02	1.131553e+00	1.412190e+00
2.550000e+02	1.137979e+00	1.424592e+00
2.560000e+02	1.144536e+00	1.436984e+00
2.570000e+02	1.151225e+00	1.449364e+00
2.580000e+02	1.158047e+00	1.461732e+00
2.590000e+02	1.165002e+00	1.474087e+00
2.600000e+02	1.172097e+00	1.486429e+00
2.610000e+02	1.179329e+00	1.498757e+00
2.620000e+02	1.186699e+00	1.511071e+00
2.630000e+02	1.194207e+00	1.523369e+00
2.640000e+02	1.201854e+00	1.535652e+00
2.650000e+02	1.209646e+00	1.547917e+00
2.660000e+02	1.217586e+00	1.560165e+00
2.670000e+02	1.225668e+00	1.572394e+00
2.680000e+02	1.233895e+00	1.584603e+00
2.690000e+02	1.242275e+00	1.596792e+00
2.700000e+02	1.250808e+00	1.608957e+00
2.710000e+02	1.259489e+00	1.621100e+00
2.720000e+02	1.268323e+00	1.633219e+00
2.730000e+02	1.277321e+00	1.645310e+00
2.740000e+02	1.286472e+00	1.657374e+00
2.750000e+02	1.295782e+00	1.669409e+00
2.760000e+02	1.305262e+00	1.681412e+00
2.770000e+02	1.314898e+00	1.693383e+00
2.780000e+02	1.324706e+00	1.705318e+00
2.790000e+02	1.334683e+00	1.717216e+00
2.800000e+02	1.344822e+00	1.729077e+00
2.810000e+02	1.355149e+00	1.740893e+00
2.820000e+02	1.365638e+00	1.752668e+00
2.830000e+02	1.376315e+00	1.764394e+00
2.840000e+02	1.387165e+00	1.776073e+00
2.850000e+02	1.398200e+00	1.787698e+00
2.860000e+02	1.409418e+00	1.799269e+00
2.870000e+02	1.420823e+00	1.810781e+00
2.880000e+02	1.432418e+00	1.822231e+00
2.890000e+02	1.444203e+00	1.833617e+00
2.900000e+02	1.456181e+00	1.844934e+00
2.910000e+02	1.468357e+00	1.856177e+00
2.920000e+02	1.480726e+00	1.867345e+00
2.930000e+02	1.493303e+00	1.878430e+00
2.940000e+02	1.506069e+00	1.889435e+00
2.950000e+02	1.519057e+00	1.900342e+00
2.960000e+02	1.532233e+00	1.911162e+00
2.970000e+02	1.545633e+00	1.921876e+00
2.980000e+02	1.559234e+00	1.932488e+00
2.990000e+02	1.573043e+00	1.942992e+00
3.000000e+02	1.587079e+00	1.953374e+00
3.010000e+02	1.601313e+00	1.963642e+00
3.020000e+02	1.615776e+00	1.973776e+00
3.030000e+02	1.630455e+00	1.983776e+00
3.040000e+02	1.645338e+00	1.993645e+00
3.050000e+02	1.660460e+00	2.003353e+00
3.060000e+02	1.675795e+00	2.012911e+00
3.070000e+02	1.691338e+00	2.022318e+00
3.080000e+02	1.707119e+00	2.031541e+00
3.090000e+02	1.723118e+00	2.040591e+00
3.100000e+02	1.739326e+00	2.049466e+00
3.110000e+02	1.755759e+00	2.058144e+00
3.120000e+02	1.772421e+00	2.066611e+00
3.130000e+02	1.789291e+00	2.074879e+00
3.140000e+02	1.806368e+00	2.082939e+00
3.150000e+02	1.823677e+00	2.090755e+00
3.160000e+02	1.841197e+00	2.098335e+00
3.170000e+02	1.858918e+00	2.105679e+00
3.180000e+02	1.876839e+00	2.112780e+00
3.190000e+02	1.894973e+00	2.119603e+00
3.200000e+02	1.913312e+00	2.126145e+00
3.210000e+02	1.931839e+00	2.132413e+00
3.220000e+02	1.950549e+00	2.138398e+00
3.230000e+02	1.969439e+00	2.144091e+00
3.240000e+02	1.988519e+00	2.149451e+00
3.250000e+02	2.007772e+00	2.154486e+00
3.260000e+02	2.027185e+00	2.159197e+00
3.270000e+02	2.046751e+00	2.163576e+00
3.280000e+02	2.066462e+00	2.167614e+00
3.290000e+02	2.086310e+00	2.171300e+00
3.300000e+02	2.106295e+00	2.174599e+00
3.310000e+02	2.126401e+00	2.177514e+00
3.320000e+02	2.146614e+00	2.180051e+00
3.330000e+02	2.166921e+00	2.182202e+00
3.340000e+02	2.187313e+00	2.183957e+00
3.350000e+02	2.207776e+00	2.185311e+00
3.360000e+02	2.228299e+00	2.186255e+00
3.370000e+02	2.248867e+00	2.186784e+00
3.380000e+02	2.269468e+00	2.186891e+00
3.390000e+02	2.290086e+00	2.186545e+00
3.400000e+02	2.310705e+00	2.185763e+00
3.410000e+02	2.331308e+00	2.184547e+00
3.420000e+02	2.351882e+00	2.182893e+00
3.430000e+02	2.372408e+00	2.180798e+00
3.440000e+02	2.392870e+00	2.178263e+00
3.450000e+02	2.413252e+00	2.175285e+00
3.460000e+02	2.433537e+00	2.171866e+00
3.470000e+02	2.453706e+00	2.168006e+00
3.480000e+02	2.473743e+00	2.163708e+00
3.490000e+02	2.493630e+00	2.158975e+00
